PromoID,PromoType,PromoDate,user_id,UserTargeted,PromoOutcome,age,gender,num_of_bookings,gross_booking
1,Percentage,2023-06-23,1,0,0,56,male,16,217.13
1,Percentage,2023-06-23,2,0,0,69,male,49,169.63
1,Percentage,2023-06-23,3,0,0,46,male,39,340.74
1,Percentage,2023-06-23,4,1,0,32,female,44,274.7
1,Percentage,2023-06-23,5,0,0,60,male,31,169.71
1,Percentage,2023-06-23,6,1,0,25,male,28,117.16
1,Percentage,2023-06-23,7,0,1,38,male,2,107.24
1,Percentage,2023-06-23,8,0,0,56,female,39,439.1
1,Percentage,2023-06-23,9,0,0,36,female,33,159.57
1,Percentage,2023-06-23,10,0,0,40,male,39,343.27
1,Percentage,2023-06-23,11,0,0,28,male,26,414.81
1,Percentage,2023-06-23,12,1,1,28,male,12,326.34
1,Percentage,2023-06-23,13,1,0,41,male,44,436.8
1,Percentage,2023-06-23,14,0,1,53,female,32,226.58
1,Percentage,2023-06-23,15,0,1,57,female,5,480.3
1,Percentage,2023-06-23,16,1,1,41,female,23,109.92
1,Percentage,2023-06-23,17,1,0,20,female,18,95.97
1,Percentage,2023-06-23,18,0,0,39,male,15,346.41
1,Percentage,2023-06-23,19,0,0,19,male,39,474.27
1,Percentage,2023-06-23,20,1,0,41,male,27,414.0
1,Percentage,2023-06-23,21,0,0,61,female,32,84.39
1,Percentage,2023-06-23,22,1,1,47,male,47,175.72
1,Percentage,2023-06-23,23,1,1,55,female,40,468.64
1,Percentage,2023-06-23,24,1,1,19,female,12,163.88
1,Percentage,2023-06-23,25,0,0,38,male,42,401.53
1,Percentage,2023-06-23,26,1,1,50,male,44,421.31
1,Percentage,2023-06-23,27,1,1,29,male,24,272.95
1,Percentage,2023-06-23,28,0,0,39,female,41,223.86
1,Percentage,2023-06-23,29,1,0,61,male,35,252.56
1,Percentage,2023-06-23,30,0,0,42,female,26,152.13
1,Percentage,2023-06-23,31,0,1,66,male,37,450.23
1,Percentage,2023-06-23,32,0,0,44,female,6,252.78
1,Percentage,2023-06-23,33,0,0,59,female,4,447.11
1,Percentage,2023-06-23,34,1,1,45,male,42,97.56
1,Percentage,2023-06-23,35,0,0,33,female,44,494.72
1,Percentage,2023-06-23,36,0,0,32,female,30,249.47
1,Percentage,2023-06-23,37,1,0,64,male,22,71.52
1,Percentage,2023-06-23,38,0,0,68,female,41,67.11
1,Percentage,2023-06-23,39,1,1,61,male,9,385.79
1,Percentage,2023-06-23,40,0,0,69,female,31,346.57
1,Percentage,2023-06-23,41,0,0,20,male,42,410.96
1,Percentage,2023-06-23,42,1,1,54,male,29,97.42
1,Percentage,2023-06-23,43,1,0,68,female,38,66.01
1,Percentage,2023-06-23,44,0,0,24,female,30,278.86
1,Percentage,2023-06-23,45,0,0,38,female,17,224.42
1,Percentage,2023-06-23,46,0,0,26,female,35,257.88
1,Percentage,2023-06-23,47,0,0,56,female,1,496.21
1,Percentage,2023-06-23,48,1,0,35,male,13,486.84
1,Percentage,2023-06-23,49,0,0,21,female,12,474.04
1,Percentage,2023-06-23,50,0,0,42,male,28,402.73
1,Percentage,2023-06-23,51,0,1,31,male,11,209.68
1,Percentage,2023-06-23,52,0,1,67,female,38,235.46
1,Percentage,2023-06-23,53,0,0,26,male,1,297.33
1,Percentage,2023-06-23,54,0,0,43,male,31,423.74
1,Percentage,2023-06-23,55,1,0,19,male,12,80.92
1,Percentage,2023-06-23,56,0,1,37,male,45,240.93
1,Percentage,2023-06-23,57,1,1,45,female,26,87.18
1,Percentage,2023-06-23,58,0,0,64,male,48,281.6
1,Percentage,2023-06-23,59,0,0,24,female,40,454.51
1,Percentage,2023-06-23,60,0,0,61,female,16,402.12
1,Percentage,2023-06-23,61,0,0,25,male,39,152.53
1,Percentage,2023-06-23,62,1,1,64,female,30,489.2
1,Percentage,2023-06-23,63,0,0,52,female,33,350.31
1,Percentage,2023-06-23,64,1,0,31,female,23,54.69
1,Percentage,2023-06-23,65,0,1,34,male,44,164.94
1,Percentage,2023-06-23,66,1,0,53,female,34,167.32
1,Percentage,2023-06-23,67,1,1,67,female,47,81.16
